datetime,temp,hum,light,motion,fanLevel,lightLevel
2026-04-07 15:58:23,24.57,79.96,73,1,2,3
2026-04-07 15:58:38,27.61,60.46,268,1,2,3
2026-04-07 16:00:08,27.86,68.48,2712,1,2,1
2026-04-07 16:00:23,20.66,77.65,2242,1,1,1
2026-04-07 16:10:05,21.53,79.88,963,1,1,2
2026-04-07 16:10:20,26.81,58.79,2335,1,2,1
2026-04-07 16:23:26,24.53,52.68,1743,1,2,2
2026-04-07 16:23:41,29.55,42.43,3410,1,2,0
2026-04-07 16:23:56,22.1,77.22,320,1,2,3
2026-04-07 16:24:11,29.12,51.28,1981,1,2,1
2026-04-07 16:29:31,20.52,49.09,1766,1,1,2
2026-04-07 16:29:46,27.68,56.93,1247,1,2,2
2026-04-07 16:30:01,20.53,54.62,1171,1,1,2
2026-04-07 16:30:16,27.16,76.02,4047,1,2,0
2026-04-07 16:30:31,28.08,49.26,0,1,2,3
2026-04-07 16:30:46,31.72,71.64,2549,1,3,1
2026-04-07 16:31:01,30.73,74.47,2648,1,3,1
2026-04-07 16:31:16,29.16,51.14,3924,1,2,0
2026-04-07 16:31:31,31.74,32.49,548,1,3,3
2026-04-07 16:31:46,25.46,55.75,581,1,2,3
2026-04-07 16:32:01,26.15,43.43,3917,1,2,0
2026-04-07 16:32:16,31.76,52.79,2289,1,3,1
2026-04-07 16:32:31,22.39,35.41,1332,1,1,2
2026-04-07 16:32:46,22.71,47.26,1501,1,1,2
2026-04-07 16:33:01,26.3,79.15,2291,1,2,1
2026-04-07 16:33:16,24.95,55.88,2363,1,2,1
2026-04-07 16:33:31,23.76,72.63,847,1,2,2
2026-04-07 16:33:46,21.53,53.5,1987,1,1,1
2026-04-07 16:34:01,21.7,33.66,2290,1,1,1
2026-04-07 16:34:16,24.49,73.97,28,1,2,3
2026-04-07 16:34:31,31.16,71.03,3919,1,3,0
2026-04-07 16:34:46,28.62,61.83,1848,1,2,1
2026-04-07 16:35:01,31.3,79.06,1496,1,3,2
2026-04-07 16:35:16,31.29,45.48,2316,1,3,1
2026-04-07 16:35:31,27.86,55.59,2617,1,2,1
2026-04-07 16:35:46,28.21,35.23,3133,1,2,0
2026-04-07 16:36:01,21.33,72.25,2691,1,1,1
2026-04-07 16:36:16,20.05,50.23,3811,1,1,0
2026-04-07 16:36:31,28.22,68.46,1699,1,3,2
2026-04-07 16:36:46,22.01,45.75,1413,1,1,2
2026-04-07 16:37:01,28.63,70.67,2916,1,3,1
2026-04-07 16:37:16,24.8,71.03,3398,1,2,0
2026-04-07 16:37:31,26.94,73.21,2536,1,2,1
2026-04-07 16:37:46,27.61,51.64,3707,1,2,0
2026-04-07 16:38:01,29.01,52.2,708,1,2,2
2026-04-07 16:38:16,29.62,58.37,304,1,2,3
2026-04-07 16:38:31,22.15,30.28,1687,1,1,2
2026-04-07 16:38:46,24.68,43.74,176,1,2,3
2026-04-07 16:39:01,31.48,63.46,1723,1,3,2
2026-04-07 16:39:16,21.18,33.17,1143,1,1,2
2026-04-07 16:39:31,27.9,54.02,940,1,2,2
2026-04-07 16:39:46,24.3,52.53,1348,1,2,2
2026-04-07 16:40:01,24.04,33.54,4044,1,1,0
2026-04-07 16:40:16,22.85,66.39,1645,1,2,2
2026-04-07 16:40:31,29.7,41.82,1286,1,2,2
2026-04-07 16:40:46,21.02,30.62,132,1,1,3
2026-04-07 16:41:01,30.45,47.74,188,1,3,3
2026-04-07 16:41:16,26.55,30.52,612,1,2,2
2026-04-07 16:41:31,25.54,68.16,2649,1,2,1
2026-04-07 16:41:46,26.71,42.97,3357,1,2,0
2026-04-07 16:42:01,21.74,50.06,931,1,1,2
2026-04-07 16:42:16,20.96,42.98,3710,1,1,0
2026-04-07 16:42:31,28.09,39.3,496,1,2,3
2026-04-07 16:42:46,23.64,34.58,255,1,1,3
2026-04-07 16:43:01,30.65,62.87,585,1,3,3
2026-04-07 16:43:16,23.86,47.32,455,1,1,3
2026-04-07 16:43:32,29.32,45.11,1818,1,2,1
2026-04-07 16:43:47,25.03,39.01,2825,1,2,1
2026-04-07 16:44:02,30.51,64.56,2261,1,3,1
2026-04-07 16:44:17,25.59,42.18,636,1,2,2
2026-04-07 16:44:32,22.54,57.62,2327,1,1,1
2026-04-07 16:44:47,24.31,77.93,2021,1,2,1
2026-04-07 16:45:02,29.04,50.5,572,1,2,3
2026-04-07 16:45:17,28.47,32.58,3009,1,2,0
2026-04-07 16:45:32,24.48,50.77,49,1,2,3
2026-04-07 16:45:47,28.2,50.52,1689,1,2,2
2026-04-07 16:46:02,31.73,74.74,1889,1,3,1
2026-04-07 16:46:17,25.34,61.63,1475,1,2,2
2026-04-07 16:46:32,28.63,48.03,731,1,2,2
2026-04-07 16:46:47,22.13,66.71,1349,1,1,2
2026-04-07 16:47:02,20.21,77.35,1517,1,1,2
2026-04-07 16:47:17,27.28,61.15,3382,1,2,0
2026-04-07 16:47:32,27.27,75.07,2051,1,2,1
2026-04-07 16:47:47,29.97,59.1,2748,1,2,1
2026-04-07 16:48:02,27.31,34.99,1561,1,2,2
2026-04-07 16:48:17,23.14,34.07,544,1,1,3
2026-04-07 16:48:32,29.08,31.87,136,1,2,3
2026-04-07 16:48:47,23.95,41.73,2432,1,1,1
2026-04-07 16:49:02,24.69,46.68,1736,1,2,2
2026-04-07 16:49:17,21.97,38.58,3682,1,1,0
2026-04-07 16:49:32,23.44,69.97,298,1,2,3
2026-04-07 16:49:47,22.46,60.35,205,1,1,3
2026-04-07 16:50:02,23.45,48.11,3320,1,1,0
2026-04-07 16:50:17,29.59,46.2,3872,1,2,0
2026-04-07 16:50:32,31,31.8,3671,1,3,0
2026-04-07 16:50:47,22.09,38.32,214,1,1,3
2026-04-07 16:51:02,24.8,33.79,3655,1,1,0
2026-04-07 16:51:17,27.28,40.62,3203,1,2,0
2026-04-07 16:51:32,23.14,69.28,1085,1,2,2
2026-04-07 16:51:47,20.01,38.91,2935,1,1,1
2026-04-07 16:52:02,28.56,62.04,92,1,2,3
2026-04-07 16:52:17,28,48.55,2209,1,2,1
2026-04-07 16:52:32,23.81,48.41,657,1,1,2
2026-04-07 16:52:47,30.66,35.17,2425,1,2,1
2026-04-07 16:53:02,21.36,40.16,3865,1,1,0
2026-04-07 16:53:17,23.05,44.97,40,1,1,3
2026-04-07 16:53:32,21.17,47.91,1870,1,1,1
2026-04-07 16:53:47,23.8,38.09,3213,1,1,0
2026-04-07 16:54:02,26.73,36.22,278,1,2,3
2026-04-07 16:54:17,26.33,64.28,3222,1,2,0
2026-04-07 16:54:32,22.39,38.26,836,1,1,2
2026-04-07 16:54:47,31.52,61.29,911,1,3,2
2026-04-07 16:55:02,26.71,60.55,2986,1,2,1
2026-04-07 16:55:17,20.89,66.87,463,1,1,3
2026-04-07 16:55:32,21.96,51.84,3124,1,1,0
2026-04-07 16:55:47,21.8,54.25,427,1,1,3
2026-04-07 16:56:02,28.52,45.6,2942,1,2,1
2026-04-07 16:56:17,29.78,37.14,637,1,2,2
2026-04-07 16:56:32,31.48,67.62,3713,1,3,0
2026-04-07 16:56:47,23.75,52.5,1078,1,1,2
2026-04-07 16:57:02,23.68,49.84,545,1,1,3
2026-04-07 16:57:17,26.06,58.81,3720,1,2,0
2026-04-07 16:57:32,25.97,47.24,3712,1,2,0
2026-04-07 16:57:47,20.06,38.59,2383,1,1,1
2026-04-07 16:58:02,23.48,48.27,4048,1,1,0
2026-04-07 16:58:17,30.17,32.14,81,1,2,3
2026-04-07 16:58:32,31.89,71.52,1061,1,3,2
2026-04-07 16:58:47,24.98,34.64,3104,1,2,0
2026-04-07 16:59:02,21.71,56.59,1145,1,1,2
2026-04-07 16:59:17,29.67,60.8,673,1,2,2
2026-04-07 16:59:32,20.54,41.55,472,1,1,3
2026-04-07 16:59:47,31.06,62.35,1282,1,3,2
2026-04-07 17:00:02,21.02,56.45,1391,1,1,2
2026-04-07 17:00:17,27.75,67.57,23,1,2,3
2026-04-07 17:00:32,21.46,59.07,145,1,1,3
2026-04-07 17:00:47,28.91,72.68,3124,1,3,0
2026-04-07 17:01:02,30.12,55.54,2924,1,2,1
2026-04-07 17:01:17,24.52,76.2,2267,1,2,1
2026-04-07 17:01:32,26.5,76.93,1120,1,2,2
2026-04-07 17:01:47,24.63,57.35,3990,1,2,0
2026-04-07 17:02:02,29.37,42.21,2808,1,2,1
2026-04-07 17:02:17,26.26,64.69,1075,1,2,2
2026-04-07 17:02:32,27.2,70.74,530,1,2,3
2026-04-07 17:02:47,21.66,65.23,3652,1,1,0
2026-04-07 17:03:02,22.07,52.72,3783,1,1,0
2026-04-07 17:03:17,27.49,70.33,4050,1,2,0
2026-04-07 17:03:32,26.56,71.91,3912,1,2,0
2026-04-07 17:03:47,27.26,41.23,3666,1,2,0
2026-04-07 17:04:02,24.06,30.8,3688,1,1,0
2026-04-07 17:04:17,29.65,76.89,1896,1,3,1
2026-04-07 17:04:32,26.36,31.11,119,1,2,3
2026-04-07 17:04:47,22.91,56.19,797,1,1,2
2026-04-07 17:05:02,26.85,42.21,2031,1,2,1
2026-04-07 17:05:17,24.55,40.35,648,1,1,2
2026-04-07 17:05:32,30.32,64,677,1,3,2
2026-04-07 17:05:47,26.6,78.08,2741,1,2,1
2026-04-07 17:06:02,28.82,42.18,1565,1,2,2
2026-04-07 17:06:17,25.14,38.79,233,1,2,3
2026-04-07 17:06:32,31.43,66.9,1818,1,3,1
2026-04-07 17:06:47,31.12,60.47,652,1,3,2
2026-04-07 17:07:02,31.14,67.28,1474,1,3,2
2026-04-07 17:07:17,23.32,78.04,314,1,2,3
2026-04-07 17:07:32,22.01,77.55,3806,1,2,0
2026-04-07 17:07:47,29.67,74.58,1039,1,3,2
2026-04-08 12:16:48,22.74,63.24,3352,1,1,0
2026-04-08 12:17:03,29.59,38.63,1953,1,2,1
2026-04-08 12:17:18,23.03,40.23,3988,1,1,0
2026-04-08 12:17:33,20.73,42.87,2683,1,1,1
2026-04-08 12:17:48,20.49,44.68,3884,1,1,0
2026-04-08 12:18:03,29.82,60.04,3285,1,2,0
2026-04-08 12:18:18,25.51,48.39,3407,1,2,0
2026-04-08 12:18:33,23.63,60.58,2500,1,1,1
2026-04-08 12:18:48,31.97,31.92,1267,1,3,2
2026-04-08 12:19:03,24.88,67.98,232,1,2,3
2026-04-08 12:19:18,25.77,42.55,191,1,2,3
2026-04-08 12:19:33,30.02,53.05,221,1,2,3
2026-04-08 12:19:48,25.15,63.28,650,1,2,2
2026-04-08 12:20:03,29.49,64.83,2228,1,2,1
